pr,	Year, Month, Country
62.8366,1981,4,KOR
73.9886,1981,5,KOR
175.519,1981,6,KOR
318.54,1981,7,KOR
260.249,1981,8,KOR
270.933,1981,9,KOR
47.1587,1981,10,KOR
35.1075,1981,11,KOR
10.1115,1981,12,KOR
20.4655,1982,1,KOR
18.1556,1982,2,KOR
60.6348,1982,3,KOR
59.6351,1982,4,KOR
112.797,1982,5,KOR
40.1963,1982,6,KOR
205.202,1982,7,KOR
295.2,1982,8,KOR
22.1548,1982,9,KOR
48.0938,1982,10,KOR
105.067,1982,11,KOR
28.645,1982,12,KOR
22.3524,1983,1,KOR
28.6463,1983,2,KOR
79.8414,1983,3,KOR
126.917,1983,4,KOR
64.7196,1983,5,KOR
149.314,1983,6,KOR
298.633,1983,7,KOR
195.496,1983,8,KOR
229.219,1983,9,KOR
67.5151,1983,10,KOR
19.122,1983,11,KOR
12.3739,1983,12,KOR
8.84577,1984,1,KOR
17.5896,1984,2,KOR
20.7065,1984,3,KOR
130.323,1984,4,KOR
63.4576,1984,5,KOR
180.909,1984,6,KOR
309.812,1984,7,KOR
216.289,1984,8,KOR
271.816,1984,9,KOR
27.7174,1984,10,KOR
55.7325,1984,11,KOR
21.4684,1984,12,KOR
12.3713,1985,1,KOR
40.6211,1985,2,KOR
77.3706,1985,3,KOR
91.0082,1985,4,KOR
188.436,1985,5,KOR
230.259,1985,6,KOR
226.103,1985,7,KOR
358.482,1985,8,KOR
247.893,1985,9,KOR
164.511,1985,10,KOR
64.7468,1985,11,KOR
29.8445,1985,12,KOR
12.68,1986,1,KOR
21.9978,1986,2,KOR
47.2158,1986,3,KOR
50.1922,1986,4,KOR
116.086,1986,5,KOR
